andar en patineta,to skateboard
bucear,to scuba dive
la diversión,fun activity; entertainment; recreation
escalar montañas (f. pl.),to climb mountains
escribir un mensaje electrónico,to write an e-mail
escribir una carta,to write a letter
esquiar,to ski
el fin de semana,weekend
ganar,to win
ir de excursión,to go on a hike
leer el correo electrónico,to read e-mail
leer un periódico,to read a newspaper
leer una revista,to read a magazine
nadar,to swim
el pasatiempo,pastime; hobby
pasear,to take a walk
pasear en bicicleta,to ride a bicycle
patinar,to skate
practicar deportes (m. pl.),to play sports
los ratos libres,spare (free) time
tomar el sol,to sunbathe
ver películas (f. pl.),to watch movies
el videojuego,video game
visitar monumentos (m. pl.),to visit monuments
el baloncesto,basketball
el béisbol,baseball
el ciclismo,cycling
el equipo,team
el esquí (acuático),(water) skiing
el fútbol,soccer
el fútbol americano,football
el golf,golf
el hockey,hockey
el/la jugador(a),player
la natación,swimming
el partido,game; match
la pelota,ball
el tenis,tennis
el vóleibol,volleyball
el café,café
el centro,downtown
el cine,movie theater
deportivo/a,sports-related
favorito/a,favorite
el gimnasio,gymnasium
la iglesia,church
el lugar,place
el museo,museum
el parque,park
la piscina,swimming pool
la plaza,city or town square
el restaurante,restaurant
almorzar (o:ue),to have lunch
cerrar (e:ie),to close
comenzar (e:ie),to begin
conseguir (e:i),to get; to obtain
contar (o:ue),to count; to tell
decir (e:i),to say; to tell
decir la respuesta,to say the answer
decir la verdad,to tell the truth
decir mentiras,to tell lies
decir que,to say that
dormir (o:ue),to sleep
empezar (e:ie),to begin
encontrar (o:ue),to find
entender (e:ie),to understand
hacer,to do; to make
ir,to go
jugar (u:ue),to play (a sport or a game)
mostrar (o:ue),to show
oír,to hear
pedir (e:i),to ask for; to request
pensar (+ inf.),to intend
pensar en,to think about
perder (e:ie),to lose; to miss
poder (o:ue),to be able to; can
poner,to put; to place
preferir (e:ie),to prefer
querer (e:ie),to want; to love
recordar (o:ue),to remember
repetir (e:i),to repeat
salir,to leave
seguir (e:i),to follow; to continue
suponer,to suppose
traer,to bring
ver,to see
volver (o:ue),to return