acampar, to camp,
el aeropuerto, airport,
el campo, countryside,
confirmar una reservación, to confirm a reservation,
el equipaje, luggage,
la estación de autobuses, bus station,
la estación de tren, train station,
la estación del metro, subway station,
estar de vacaciones (f pl), to be on vacation,
hacer las maletas, to pack (one’s suitcases),
hacer (wind)surf, to (wind)surf,
hacer un viaje, to take a trip,
el/la inspector(a) de aduanas, customs inspector,
ir de compras (f pl), to go shopping,
ir de vacaciones, to go on vacation,
ir en auto(móvil) (m), to go by car,
ir en autobús (m.), to go by bus,
ir en avión (m.), to go by plane,
ir en barco (m.), to go by boat,
ir en moto(cicleta) (f.), to go by motorcycle,
ir en taxi (m.), to go by taxi,
jugar a las cartas, to play cards,
la llegada, arrival,
el mar, sea,
montar a caballo (m.), to ride a horse,
el paisaje, landscape,
el pasaje (de ida y vuelta), (round-trip) ticket,
el pasaporte, passport,
pescar, to fish,
la playa, beach,
sacar/tomar fotos (f. pl.), to take photos,
la salida, departure; exit,
la tabla de (wind)surf, surfboard/sailboard,
el/la viajero/a, traveler,
el ascensor, elevator,
la cama, bed,
el/la empleado/a, employee,
la habitación doble, double room,
la habitación individual, single room,
el hotel, hotel,
el/la huésped, guest,
la llave, key,
el piso, floor (of a building),
la planta baja, ground floor,
abierto/a, open,
aburrido/a, bored; boring,
alegre, happy,
avergonzado/a, embarrassed,
cansado/a, tired,
cerrado/a, closed,
cómodo/a, comfortable,
confundido/a, confused,
contento/a, content,
desordenado/a, disorderly,
enamorado/a (de), in love (with),
enojado/a, angry,
equivocado/a, wrong,
feliz, happy,
limpio/a, clean,
listo/a, ready; smart,
nervioso/a, nervous,
ocupado/a, busy,
ordenado/a, orderly,
preocupado/a (por), worried (about),
seguro/a, sure; safe; confident,
sucio/a, dirty,
triste, sad,
primer; primero/a, first,
segundo/a, second,
tercer; tercero/a, third,
cuarto/a, fourth,
quinto/a, fifth,
sexto/a, sixth,
séptimo/a, seventh,
octavo/a, eighth,
noveno/a, ninth,
décimo/a, tenth,
enero, January,
febrero, February,
marzo, March,
abril, April,
mayo, May,
junio, June,
julio, July,
agosto, August,
septiembre, September,
octubre, October,
noviembre, November,
diciembre, December,
el invierno, winter,
la primavera, spring,
el verano, summer,
el otoño, autumn,
Está (muy) nublado., It’s (very) cloudy.,
Hace buen tiempo., The weather is good.,
Hace (mucho) calor., It's (very) hot.,
Hace fresco., It’s cool.,
Hace (mucho) frío., It's (very) cold.,
Hace mal tiempo., The weather is bad.,
Hace (mucho) sol., It’s (very) sunny.,
Hace (mucho) viento., It’s (very) windy.,
llover (o:ue), to rain,
nevar (e:ie), to snow,
¿Qué tiempo hace?, How's the weather?,
ahora mismo, right now,
el año, year,
¿Cuál es la fecha (de hoy)?, What is the date (today)?,
de buen humor, in a good mood,
de mal humor, in a bad mood,
la estación, season,
el mes, month,
todavía, yet; still,